"filename", "language", "Batch", "JSON", "CSS", "XML", "HTML", "JavaScript", "Markdown", "C#", "Properties", "Shell Script", "comment", "blank", "total"
"z:\mDB\FTP\AI\PromptResponseGenerator\obj\PromptResponseGenerator.csproj.nuget.dgspec.json", "JSON", 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63
"z:\mDB\FTP\AI\PromptResponseGenerator\obj\PromptResponseGenerator.csproj.nuget.g.props", "XML", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 15
"z:\mDB\FTP\AI\PromptResponseGenerator\obj\PromptResponseGenerator.csproj.nuget.g.targets", "XML", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"z:\mDB\FTP\AI\PromptResponseGenerator\obj\project.assets.json", "JSON", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68
"z:\mDB\FTP\AI\PromptWorker.js", "JavaScript", 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 17, 17, 100
"z:\mDB\FTP\AI\Waifu-Stable-Diffusion.html", "HTML", 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 11, 75
"z:\mDB\FTP\AI\Waifu-Stable-Diffusion.js", "JavaScript", 0, 0, 0, 0, 0, 177, 0, 0, 0, 0, 20, 43, 240
"z:\mDB\FTP\Modules\GetFTPFiles.js", "JavaScript", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 2, 0, 11
"z:\mDB\FTP\Post_Modules\Upload.js", "JavaScript", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 5, 8, 59
"z:\mDB\FTP\Post_Modules\upload.html", "HTML", 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 10, 88
"z:\mDB\FTP\Site_Media\Logo\Logo.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"z:\mDB\FTP\Site_Media\Logo\Logo_Square.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"z:\mDB\FTP\index.html", "HTML", 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 6, 56
"z:\mDB\Helpers.js", "JavaScript", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
"z:\mDB\Hiragana_Teacher\About.html", "HTML", 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 9, 77
"z:\mDB\Hiragana_Teacher\Cards Button.svg", "XML", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 1, 40
"z:\mDB\Hiragana_Teacher\CreateSet.html", "HTML", 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 11, 91
"z:\mDB\Hiragana_Teacher\CreateSet.js", "JavaScript", 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 15, 21, 140
"z:\mDB\Hiragana_Teacher\Edit Button.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"z:\mDB\Hiragana_Teacher\FlipCard.html", "HTML", 0, 0, 0, 0, 127, 0, 0, 0, 0, 0, 0, 24, 151
"z:\mDB\Hiragana_Teacher\FlipCard.js", "JavaScript", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 9, 8, 45
"z:\mDB\Hiragana_Teacher\Hiragana_Teacher_Index.js", "JavaScript", 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 11, 18, 103
"z:\mDB\Hiragana_Teacher\Modules\GetAuthorName.js", "JavaScript", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 3, 14
"z:\mDB\Hiragana_Teacher\Modules\GetCharacterSets.js", "JavaScript", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 1, 1, 16
"z:\mDB\Hiragana_Teacher\Plus Button.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"z:\mDB\Hiragana_Teacher\Post_Modules\CheckPassword.js", "JavaScript", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 3, 11
"z:\mDB\Hiragana_Teacher\Post_Modules\CreateList.js", "JavaScript", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 22, 6, 52
"z:\mDB\Hiragana_Teacher\Post_Modules\DeleteList.js", "JavaScript", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 7, 4, 31
"z:\mDB\Hiragana_Teacher\Post_Modules\GetLoginToken.js", "JavaScript", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 1, 1, 10
"z:\mDB\Hiragana_Teacher\Post_Modules\GetPrivateSets.js", "JavaScript", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 1, 3, 24
"z:\mDB\Hiragana_Teacher\Post_Modules\GetProgress.js", "JavaScript", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 8, 2, 23
"z:\mDB\Hiragana_Teacher\Post_Modules\InvalidateToken.js", "JavaScript", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 1, 3, 12
"z:\mDB\Hiragana_Teacher\Post_Modules\RegisterUser.js", "JavaScript", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 17, 12, 71
"z:\mDB\Hiragana_Teacher\Post_Modules\UpdateList.js", "JavaScript", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 22, 6, 50
"z:\mDB\Hiragana_Teacher\Post_Modules\UpdateProgress.js", "JavaScript", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 22, 9, 64
"z:\mDB\Hiragana_Teacher\Practice Button.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"z:\mDB\Hiragana_Teacher\Remove Button.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"z:\mDB\Hiragana_Teacher\Sets\1.json", "JSON", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55
"z:\mDB\Hiragana_Teacher\Sets\2.json", "JSON", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47
"z:\mDB\Hiragana_Teacher\Sets\2245253605070419.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
